[20:37:04.296] ======================================================================
[20:37:04.296] BTC 5m ARB SCANNER v3
[20:37:04.296] Threshold: YES_buy + NO_buy < $0.990
[20:37:04.296] Poll interval: 100ms
[20:37:04.296] Duration: 5 minutes
[20:37:04.296] ======================================================================
[20:37:04.450] CLOB API latency: 51.3ms (avg of 3)
[20:37:04.450] ⚠️  High latency — you're not co-located. Run from AWS eu-west-1 for <10ms.
[20:37:04.450] 
[20:37:04.450] Scanning... (Ctrl+C to stop)
[20:37:04.450] 
[20:37:04.472] 📊 Bitcoin Up or Down - March 24, 4:35PM-4:40PM ET
[20:37:04.472]    YES: 50479080100328806697...
[20:37:04.472]    NO:  13678910416501368810...
[20:37:04.472] 
[20:37:04.591] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.220 = $1.0100 | spread=$0.0100
[20:37:04.711] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.220 = $1.0100 | spread=$0.0100
[20:37:04.834] 🎯 ARB #1 | T+124s | YES=$0.780 + NO=$0.200 = $0.9800 | spread=$0.0200 | profit@5shares=$0.10 | poll=123ms
[20:37:04.834] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.220 = $1.0100 | spread=$0.0100
[20:37:05.122]    └─ closed after 288ms
[20:37:05.122] 🔄 SELL ARB | YES_sell=$0.830 + NO_sell=$0.180 = $1.0100 | spread=$0.0100
[20:37:05.246] 🔄 SELL ARB | YES_sell=$0.830 + NO_sell=$0.180 = $1.0100 | spread=$0.0100
[20:37:05.360] 🔄 SELL ARB | YES_sell=$0.830 + NO_sell=$0.180 = $1.0100 | spread=$0.0100
[20:37:05.477] 🔄 SELL ARB | YES_sell=$0.830 + NO_sell=$0.180 = $1.0100 | spread=$0.0100
[20:37:05.591] 🎯 ARB #2 | T+125s | YES=$0.820 + NO=$0.160 = $0.9800 | spread=$0.0200 | profit@5shares=$0.10 | poll=113ms
[20:37:05.591] 🔄 SELL ARB | YES_sell=$0.840 + NO_sell=$0.170 = $1.0100 | spread=$0.0100
[20:37:05.705]    └─ closed after 114ms
[20:37:05.705] 🔄 SELL ARB | YES_sell=$0.840 + NO_sell=$0.170 = $1.0100 | spread=$0.0100
[20:37:05.822] 🔄 SELL ARB | YES_sell=$0.840 + NO_sell=$0.170 = $1.0100 | spread=$0.0100
[20:37:06.045] 🔄 SELL ARB | YES_sell=$0.850 + NO_sell=$0.160 = $1.0100 | spread=$0.0100
[20:37:06.153] 🔄 SELL ARB | YES_sell=$0.850 + NO_sell=$0.160 = $1.0100 | spread=$0.0100
[20:37:06.261] 🔄 SELL ARB | YES_sell=$0.850 + NO_sell=$0.160 = $1.0100 | spread=$0.0100
[20:37:06.374] 🔄 SELL ARB | YES_sell=$0.850 + NO_sell=$0.160 = $1.0100 | spread=$0.0100
[20:37:06.483] 🔄 SELL ARB | YES_sell=$0.850 + NO_sell=$0.160 = $1.0100 | spread=$0.0100
[20:37:06.591] 🔄 SELL ARB | YES_sell=$0.850 + NO_sell=$0.160 = $1.0100 | spread=$0.0100
[20:37:06.708] 🔄 SELL ARB | YES_sell=$0.850 + NO_sell=$0.160 = $1.0100 | spread=$0.0100
[20:37:06.845] 🔄 SELL ARB | YES_sell=$0.850 + NO_sell=$0.190 = $1.0400 | spread=$0.0400
[20:37:06.951] 🔄 SELL ARB | YES_sell=$0.820 + NO_sell=$0.190 = $1.0100 | spread=$0.0100
[20:37:07.081] 🔄 SELL ARB | YES_sell=$0.820 + NO_sell=$0.190 = $1.0100 | spread=$0.0100
[20:37:07.196] 🔄 SELL ARB | YES_sell=$0.820 + NO_sell=$0.190 = $1.0100 | spread=$0.0100
[20:37:07.306] 🔄 SELL ARB | YES_sell=$0.820 + NO_sell=$0.190 = $1.0100 | spread=$0.0100
[20:37:07.416] 🔄 SELL ARB | YES_sell=$0.820 + NO_sell=$0.190 = $1.0100 | spread=$0.0100
[20:37:07.531] 🔄 SELL ARB | YES_sell=$0.820 + NO_sell=$0.200 = $1.0200 | spread=$0.0200
[20:37:07.666] 🔄 SELL ARB | YES_sell=$0.800 + NO_sell=$0.210 = $1.0100 | spread=$0.0100
[20:37:07.786] 🔄 SELL ARB | YES_sell=$0.800 + NO_sell=$0.210 = $1.0100 | spread=$0.0100
[20:37:07.900] 🔄 SELL ARB | YES_sell=$0.800 + NO_sell=$0.210 = $1.0100 | spread=$0.0100
[20:37:08.022] 🔄 SELL ARB | YES_sell=$0.800 + NO_sell=$0.210 = $1.0100 | spread=$0.0100
[20:37:08.132] 🔄 SELL ARB | YES_sell=$0.800 + NO_sell=$0.210 = $1.0100 | spread=$0.0100
[20:37:08.266] 🔄 SELL ARB | YES_sell=$0.800 + NO_sell=$0.210 = $1.0100 | spread=$0.0100
[20:37:08.379] 🔄 SELL ARB | YES_sell=$0.800 + NO_sell=$0.210 = $1.0100 | spread=$0.0100
[20:37:08.487] 🔄 SELL ARB | YES_sell=$0.800 + NO_sell=$0.210 = $1.0100 | spread=$0.0100
[20:37:08.613] 🔄 SELL ARB | YES_sell=$0.800 + NO_sell=$0.220 = $1.0200 | spread=$0.0200
[20:37:08.722] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.220 = $1.0100 | spread=$0.0100
[20:37:08.829] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.220 = $1.0100 | spread=$0.0100
[20:37:08.950] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.220 = $1.0100 | spread=$0.0100
[20:37:09.065] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.220 = $1.0100 | spread=$0.0100
[20:37:09.176] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.220 = $1.0100 | spread=$0.0100
[20:37:09.290] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.220 = $1.0100 | spread=$0.0100
[20:37:09.428] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.220 = $1.0100 | spread=$0.0100
[20:37:09.557] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.220 = $1.0100 | spread=$0.0100
[20:37:09.669] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.220 = $1.0100 | spread=$0.0100
[20:37:09.788] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.220 = $1.0100 | spread=$0.0100
[20:37:09.906] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.220 = $1.0100 | spread=$0.0100
[20:37:10.022] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.220 = $1.0100 | spread=$0.0100
[20:37:10.161] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.220 = $1.0100 | spread=$0.0100
[20:37:10.281] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.220 = $1.0100 | spread=$0.0100
[20:37:10.396] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.220 = $1.0100 | spread=$0.0100
[20:37:10.546] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.220 = $1.0100 | spread=$0.0100
[20:37:10.652] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.220 = $1.0100 | spread=$0.0100
[20:37:10.764] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.220 = $1.0100 | spread=$0.0100
[20:37:10.875] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.220 = $1.0100 | spread=$0.0100
[20:37:10.987] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.220 = $1.0100 | spread=$0.0100
[20:37:11.112] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.220 = $1.0100 | spread=$0.0100
[20:37:11.228] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.220 = $1.0100 | spread=$0.0100
[20:37:11.329] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.220 = $1.0100 | spread=$0.0100
[20:37:11.460] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.220 = $1.0100 | spread=$0.0100
[20:37:11.626] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.220 = $1.0100 | spread=$0.0100
[20:37:11.748] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.220 = $1.0100 | spread=$0.0100
[20:37:11.868] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.220 = $1.0100 | spread=$0.0100
[20:37:12.000] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.220 = $1.0100 | spread=$0.0100
[20:37:12.111] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.220 = $1.0100 | spread=$0.0100
